"optlock","creationdate","modificationdate","body","guid","name","parent","ref_id","tenant_id","type","creationuser","modificationuser"
0,"2026-01-29 09:52:43.613452","2026-01-29 09:52:43.613452",NULL,"00008c29-621d-4a2b-804d-2750c7b5f675","mdi:sticky-notes-outline","mdi:note-multiple-outline","mdi-complete","default","SVG",NULL,NULL
0,"2026-02-01 14:47:21.317244","2026-02-01 14:47:21.317244",NULL,"00015411-5eb9-401a-be0b-23f931bdbbe5","mdi:alarm-on","mdi:alarm-check","mdi","default","SVG",NULL,NULL
0,"2026-01-29 09:52:43.567177","2026-01-29 09:52:43.567177",NULL,"0001ef89-f113-4638-9c7c-bee321e9fac1","mdi:bulb-multiple-off-outline","mdi:lightbulb-multiple-off-outline","mdi-complete","default","SVG",NULL,NULL
0,"2026-01-29 09:52:43.435876","2026-01-29 09:52:43.435876","<path fill=""currentColor"" d=""M9 7h2v8h2V7h2v8a2 2 0 0 1-2 2h-2a2 2 0 0 1-2-2zM5 3h14a2 2 0 0 1 2 2v14a2 2 0 0 1-2 2H5a2 2 0 0 1-2-2V5a2 2 0 0 1 2-2m0 2v14h14V5z""/>","0001f6d2-c669-4439-874c-37fd937ffa44","mdi:alpha-u-box-outline",NULL,"mdi-complete","default","SVG",NULL,NULL
0,"2026-01-29 09:52:43.583787","2026-01-29 09:52:43.583787",NULL,"00032308-cf07-4e01-8a47-f1801a50b961","mdi:flight-mode-off","mdi:airplane-off","mdi-complete","default","SVG",NULL,NULL
0,"2026-01-29 09:52:43.618788","2026-01-29 09:52:43.618788",NULL,"0007fe89-830e-4bbf-b74f-b1d7b74a3cee","mdi:video-add","mdi:video-plus","mdi-complete","default","SVG",NULL,NULL
0,"2026-02-01 14:47:21.371462","2026-02-01 14:47:21.371462",NULL,"000e213f-1d60-4d6b-8372-a5cd7861a224","mdi:link-add","mdi:link-plus","mdi","default","SVG",NULL,NULL
0,"2026-02-01 14:47:21.383281","2026-02-01 14:47:21.383281",NULL,"0011c054-511a-4975-8de9-9b02dc5fa869","mdi:playground-seesaw","mdi:seesaw","mdi","default","SVG",NULL,NULL
0,"2026-01-29 09:52:43.5751","2026-01-29 09:52:43.5751",NULL,"0011d65b-cf63-44b1-8504-8e873adcc0ab","mdi:database-view","mdi:database-eye","mdi-complete","default","SVG",NULL,NULL
0,"2026-02-01 14:47:21.368692","2026-02-01 14:47:21.368692",NULL,"00123ea2-abe8-45f1-82ed-8db09fc27ea6","mdi:letter-a","mdi:alpha-a","mdi","default","SVG",NULL,NULL
0,"2026-01-29 09:52:43.615847","2026-01-29 09:52:43.615847",NULL,"0015fcfc-166e-4e12-a712-3bc0c22d42a1","mdi:timer-favorite","mdi:timer-star","mdi-complete","default","SVG",NULL,NULL
0,"2026-02-01 14:47:21.384753","2026-02-01 14:47:21.384753",NULL,"00160794-6702-48d8-bdf5-a5a8953e5a17","mdi:printer-point-of-sale-network","mdi:printer-pos-network","mdi","default","SVG",NULL,NULL
0,"2026-01-29 09:52:43.41435","2026-01-29 09:52:43.41435","<path fill=""currentColor"" d=""M10 12c2.21 0 4-1.79 4-4s-1.79-4-4-4s-4 1.79-4 4s1.79 4 4 4m0-6a2 2 0 1 1 0 4c-1.11 0-2-.89-2-2s.9-2 2-2m2 14H2v-3c0-2.67 5.33-4 8-4c.91 0 2.13.16 3.35.47c-.09.33-.15.68-.15 1.03v.89c-.98-.29-2.1-.49-3.2-.49c-2.97 0-6.1 1.46-6.1 2.1v1.1H12zm8.8-3h-4.3v-2.5c0-.8.7-1.3 1.5-1.3s1.5.5 1.5 1.3v.5h1.3v-.5c0-1.4-1.4-2.5-2.8-2.5s-2.8 1.1-2.8 2.5V17c-.6 0-1.2.6-1.2 1.2v3.5c0 .7.6 1.3 1.2 1.3h5.5c.7 0 1.3-.6 1.3-1.2v-3.5c0-.7-.6-1.3-1.2-1.3""/>","001838e8-faba-4fc6-9210-6cf81ac21efe","mdi:account-lock-open-outline",NULL,"mdi-complete","default","SVG",NULL,NULL
0,"2026-02-01 14:47:21.214118","2026-02-01 14:47:21.214118","<path fill=""currentColor"" d=""M20.84 22.73L18.09 20h-1.26c.11-.32.17-.66.17-1v-.11l-2.25-2.25c-.18.22-.44.36-.75.36h-4c-.55 0-1-.45-1-1v-2c-1.6-1.2-2.26-3.16-1.88-5L5.5 7.4C5.18 8.23 5 9.11 5 10c0 1.83.72 3.58 2 4.88V17H5c-.55 0-1-.45-1-1v-1.55a4.05 4.05 0 0 1-2-3.14C1.85 9.27 3.25 7.5 5.2 7.09L1.11 3l1.28-1.27l19.72 19.73zM15 6c-1.78-1.33-4.14-1.28-5.87-.07l6.95 6.95A5 5 0 0 0 15 6m4.79 10.59c.12-.17.21-.37.21-.59v-1.55c1.91-1.11 2.57-3.55 1.46-5.45a4 4 0 0 0-3.14-2c.45.94.68 1.96.68 3c0 1.57-.53 3.09-1.5 4.31zM10 19c0 .55.45 1 1 1h2c.55 0 1-.45 1-1v-1h-4zm-3-1H5v1c0 .55.45 1 1 1h1.17c-.11-.32-.17-.66-.17-1z""/>","0019a6e8-4637-4df2-815b-0a4d62bb8c72","mdi:lightbulb-group-off",NULL,"mdi","default","SVG",NULL,NULL
0,"2026-02-01 14:47:21.390326","2026-02-01 14:47:21.390326",NULL,"001b565e-4917-47c3-8de3-27a2bd75541d","mdi:seat-belt","mdi:seatbelt","mdi","default","SVG",NULL,NULL
